step,agent_loc,target_loc,item_locs,item_times,reward,agent_load
0,"(2, 0)","(2, 0)",[],[],0.0,0
1,"(2, 0)","(2, 0)",[],[],0.0,0
2,"(2, 0)","(2, 0)",[],[],0.0,0
3,"(2, 0)","(2, 0)",[],[],0.0,0
4,"(2, 1)","(2, 0)",[],[],-1,0
5,"(2, 0)","(2, 0)",[],[],-1.0,0
6,"(2, 1)","(2, 0)",[],[],-1,0
7,"(2, 2)","(2, 0)",[],[],-1,0
8,"(2, 1)","(2, 0)","[(4, 0)]",[0],-1,0
9,"(3, 1)","(2, 0)","[(4, 0)]",[1],-1,0
10,"(4, 1)","(2, 0)","[(4, 0)]",[2],-1,0
11,"(4, 0)","(2, 0)",[],[],6.5,1
12,"(3, 0)","(2, 0)","[(4, 2)]",[0],-1,1
13,"(2, 0)","(2, 0)","[(4, 2)]",[1],6.5,0
14,"(3, 0)","(2, 0)","[(4, 2)]",[2],-1,0
15,"(3, 1)","(2, 0)","[(4, 2)]",[3],-1,0
16,"(3, 2)","(2, 0)","[(4, 2)]",[4],-1,0
17,"(4, 2)","(2, 0)",[],[],6.5,1
18,"(4, 1)","(2, 0)",[],[],-1,1
19,"(4, 0)","(2, 0)",[],[],-1,1
20,"(3, 0)","(2, 0)","[(0, 4)]",[0],-1,1
21,"(2, 0)","(2, 0)","[(0, 4)]",[1],6.5,0
22,"(2, 1)","(2, 0)","[(0, 4)]",[2],-1,0
23,"(2, 2)","(2, 0)","[(0, 4)]",[3],-1,0
24,"(1, 2)","(2, 0)","[(0, 4)]",[4],-1,0
25,"(1, 3)","(2, 0)","[(0, 4)]",[5],-1,0
26,"(0, 3)","(2, 0)","[(0, 4)]",[6],-1,0
27,"(0, 4)","(2, 0)","[(4, 3)]",[0],6.5,1
28,"(0, 3)","(2, 0)","[(4, 3), (2, 3), (3, 3)]","[1, 0, 0]",-1,1
29,"(0, 2)","(2, 0)","[(4, 3), (2, 3), (3, 3), (0, 3)]","[2, 1, 1, 0]",-1,1
30,"(0, 1)","(2, 0)","[(4, 3), (2, 3), (3, 3), (0, 3)]","[3, 2, 2, 1]",-1,1
31,"(1, 1)","(2, 0)","[(4, 3), (2, 3), (3, 3), (0, 3), (4, 4)]","[4, 3, 3, 2, 0]",-1,1
