step,agent_loc,target_loc,item_locs,item_times,reward,agent_load,action_probs
0,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
1,"(3, 1)","(2, 0)",[],[],-1,0,"[3.289452797616832e-05, 0.08169412612915039, 0.9182122349739075, 6.0193018725840375e-05, 5.08188179537683e-07]"
2,"(3, 2)","(2, 0)",[],[],-1,0,"[8.291145786643028e-05, 0.22833818197250366, 0.7715753316879272, 2.735296675382415e-06, 8.57610359616956e-07]"
3,"(2, 2)","(2, 0)","[(1, 0)]",[0],-1,0,"[0.0011093501234427094, 0.8757193088531494, 6.290153464760806e-07, 6.876106454001274e-06, 0.12316377460956573]"
4,"(1, 2)","(2, 0)","[(1, 0)]",[1],-1,0,"[0.001093551516532898, 0.0011947720777243376, 2.447322344778513e-07, 0.0007686387980356812, 0.9969428181648254]"
5,"(1, 1)","(2, 0)","[(1, 0)]",[2],-1,0,"[0.0009024098399095237, 0.001183688291348517, 1.1092781448951428e-07, 0.0005777152255177498, 0.9973360896110535]"
6,"(1, 0)","(2, 0)","[(1, 4)]",[0],6.5,1,"[0.00022765561880078167, 0.002701245713979006, 0.8248271942138672, 0.1722421944141388, 1.7741526789905038e-06]"
7,"(1, 1)","(2, 0)","[(1, 4)]",[1],-1,1,"[4.617482045432553e-05, 0.00017143598233815283, 0.9765148162841797, 0.023267459124326706, 6.606347824344994e-08]"
8,"(1, 2)","(2, 0)","[(1, 4)]",[2],-1,1,"[6.302276233327575e-06, 1.8709311007114593e-06, 0.9995501637458801, 0.00044155665091238916, 7.707672278201017e-10]"
9,"(1, 3)","(2, 0)","[(1, 4)]",[3],-1,1,"[0.00018036834080703557, 8.203166544262785e-06, 0.9994381070137024, 0.0003733134944923222, 2.6256001817159813e-08]"
10,"(1, 4)","(2, 0)",[],[],6.5,2,"[3.690160156111233e-05, 1.8497481505619362e-05, 6.006698072269501e-07, 0.009522554464638233, 0.9904214143753052]"
11,"(1, 3)","(2, 0)",[],[],-1,2,"[2.388077882642392e-05, 6.768724688299699e-06, 1.6143347920660744e-06, 0.05632608383893967, 0.9436416625976562]"
12,"(1, 2)","(2, 0)",[],[],-1,2,"[9.121035873249639e-06, 2.687766311737505e-07, 6.1029177231830545e-06, 0.7784100770950317, 0.22157442569732666]"
13,"(1, 1)","(2, 0)",[],[],-1,2,"[7.175740961429256e-07, 5.506526346010787e-10, 1.250381683348678e-05, 0.999531626701355, 0.00045511219650506973]"
14,"(2, 1)","(2, 0)",[],[],-1,2,"[3.908510279870825e-06, 2.659275196492672e-05, 3.471031959634274e-07, 0.0001483326341258362, 0.99982088804245]"
15,"(2, 0)","(2, 0)",[],[],14.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
16,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
17,"(3, 1)","(2, 0)",[],[],-1,0,"[3.289452797616832e-05, 0.08169412612915039, 0.9182122349739075, 6.0193018725840375e-05, 5.08188179537683e-07]"
18,"(3, 2)","(2, 0)",[],[],-1,0,"[8.291145786643028e-05, 0.22833818197250366, 0.7715753316879272, 2.735296675382415e-06, 8.57610359616956e-07]"
19,"(3, 3)","(2, 0)",[],[],-1,0,"[0.0006728942971676588, 0.9984450936317444, 0.0008514523506164551, 6.823877356509911e-07, 2.9988590540597215e-05]"
20,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
21,"(2, 4)","(2, 0)",[],[],-1,0,"[0.5117229223251343, 0.032551124691963196, 0.00023296194558497518, 0.022134196013212204, 0.4333588182926178]"
22,"(2, 4)","(2, 0)",[],[],0,0,"[0.5117229223251343, 0.032551124691963196, 0.00023296194558497518, 0.022134196013212204, 0.4333588182926178]"
23,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
24,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
