2025-05-13 18:45:44,894 INFO    MainThread:30256 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-13 18:45:44,895 INFO    MainThread:30256 [wandb_setup.py:_flush():70] Configure stats pid to 30256
2025-05-13 18:45:44,895 INFO    MainThread:30256 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\.config\wandb\settings
2025-05-13 18:45:44,895 INFO    MainThread:30256 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\PycharmProjects\ducks-riding-lamas\wandb\settings
2025-05-13 18:45:44,895 INFO    MainThread:30256 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-13 18:45:44,895 INFO    MainThread:30256 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\jonas\PycharmProjects\ducks-riding-lamas\wandb\run-20250513_184544-n0le50c6\logs\debug.log
2025-05-13 18:45:44,897 INFO    MainThread:30256 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\jonas\PycharmProjects\ducks-riding-lamas\wandb\run-20250513_184544-n0le50c6\logs\debug-internal.log
2025-05-13 18:45:44,897 INFO    MainThread:30256 [wandb_init.py:init():852] calling init triggers
2025-05-13 18:45:44,897 INFO    MainThread:30256 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'episodes': 20, 'epsilon': 0.0, 'epsilon_decay': 1.0, 'batch_size': 16, 'memory_size': 100, '_wandb': {}}
2025-05-13 18:45:44,897 INFO    MainThread:30256 [wandb_init.py:init():893] starting backend
2025-05-13 18:45:44,897 INFO    MainThread:30256 [wandb_init.py:init():897] sending inform_init request
2025-05-13 18:45:44,915 INFO    MainThread:30256 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-13 18:45:44,916 INFO    MainThread:30256 [wandb_init.py:init():907] backend started and connected
2025-05-13 18:45:44,917 INFO    MainThread:30256 [wandb_init.py:init():1005] updated telemetry
2025-05-13 18:45:44,950 INFO    MainThread:30256 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-13 18:45:45,588 INFO    MainThread:30256 [wandb_init.py:init():1104] starting run threads in backend
2025-05-13 18:45:45,675 INFO    MainThread:30256 [wandb_run.py:_console_start():2573] atexit reg
2025-05-13 18:45:45,675 INFO    MainThread:30256 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-13 18:45:45,675 INFO    MainThread:30256 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-13 18:45:45,675 INFO    MainThread:30256 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-13 18:45:45,677 INFO    MainThread:30256 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-13 18:45:45,944 INFO    MsgRouterThr:30256 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
