2025-06-01 13:44:27,015 INFO    MainThread:9484 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_setup.py:_flush():70] Configure stats pid to 9484
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\.config\wandb\settings
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\PycharmProjects\ducks-riding-lamas\wandb\settings
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_init.py:setup_run_log_directory():724] Logging user logs to ./wandb\wandb\run-20250601_134427-qjgs49l1\logs\debug.log
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to ./wandb\wandb\run-20250601_134427-qjgs49l1\logs\debug-internal.log
2025-06-01 13:44:27,016 INFO    MainThread:9484 [wandb_init.py:init():852] calling init triggers
2025-06-01 13:44:27,017 INFO    MainThread:9484 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'environment': {'variant': 0, 'data_dir': './data', 'mode': 'training'}, 'model': {'network': 'combine', 'network_type': 'Functional', 'target_update_freq': 5, 'prioritized_replay': True, 'device': 'cpu'}, 'training': {'episodes': 10, 'seed': 42, 'learning_rate': 0.001, 'gamma': 0.99, 'batch_size': 64, 'buffer_size': 10000, 'epsilon_start': 1.0, 'epsilon_min': 0.1, 'epsilon_decay': 0.995}, '_wandb': {'code_path': 'code/main.py'}}
2025-06-01 13:44:27,017 INFO    MainThread:9484 [wandb_init.py:init():893] starting backend
2025-06-01 13:44:27,017 INFO    MainThread:9484 [wandb_init.py:init():897] sending inform_init request
2025-06-01 13:44:27,036 INFO    MainThread:9484 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-06-01 13:44:27,036 INFO    MainThread:9484 [wandb_init.py:init():907] backend started and connected
2025-06-01 13:44:27,038 INFO    MainThread:9484 [wandb_init.py:init():1005] updated telemetry
2025-06-01 13:44:27,158 INFO    MainThread:9484 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-01 13:44:27,570 INFO    MainThread:9484 [wandb_init.py:init():1104] starting run threads in backend
2025-06-01 13:44:27,676 INFO    MainThread:9484 [wandb_run.py:_console_start():2573] atexit reg
2025-06-01 13:44:27,677 INFO    MainThread:9484 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-01 13:44:27,677 INFO    MainThread:9484 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-01 13:44:27,677 INFO    MainThread:9484 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-01 13:44:27,678 INFO    MainThread:9484 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-01 13:46:45,902 INFO    MsgRouterThr:9484 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
