2025-07-01 16:31:54,598 INFO    MainThread:16300 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_setup.py:_flush():70] Configure stats pid to 16300
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\.config\wandb\settings
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_setup.py:_flush():70] Loading settings from C:\Users\jonas\coding\university\drl\ducks-riding-lamas\wandb\settings
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:setup_run_log_directory():724] Logging user logs to ./wandb\wandb\run-20250701_163154-o7loc1lo\logs\debug.log
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to ./wandb\wandb\run-20250701_163154-o7loc1lo\logs\debug-internal.log
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:init():852] calling init triggers
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'environment': {'variant': 0, 'data_dir': './data', 'mode': 'training'}, 'model': {'network': 'mlp', 'network_type': 'Sequential', 'target_update_freq': 5, 'prioritized_replay': True, 'device': 'cpu'}, 'training': {'episodes': 10, 'seed': 42, 'learning_rate': 0.001, 'gamma': 0.99, 'batch_size': 64, 'buffer_size': 10000, 'epsilon_start': 1.0, 'epsilon_min': 0.1, 'epsilon_decay': 0.995}, '_wandb': {'code_path': 'code/main.py'}}
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:init():893] starting backend
2025-07-01 16:31:54,599 INFO    MainThread:16300 [wandb_init.py:init():897] sending inform_init request
2025-07-01 16:31:54,620 INFO    MainThread:16300 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-07-01 16:31:54,621 INFO    MainThread:16300 [wandb_init.py:init():907] backend started and connected
2025-07-01 16:31:54,623 INFO    MainThread:16300 [wandb_init.py:init():1005] updated telemetry
2025-07-01 16:31:54,685 INFO    MainThread:16300 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-07-01 16:31:55,231 INFO    MainThread:16300 [wandb_init.py:init():1104] starting run threads in backend
2025-07-01 16:31:55,967 INFO    MainThread:16300 [wandb_run.py:_console_start():2573] atexit reg
2025-07-01 16:31:55,967 INFO    MainThread:16300 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-07-01 16:31:55,967 INFO    MainThread:16300 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-07-01 16:31:55,967 INFO    MainThread:16300 [wandb_run.py:_redirect():2513] Redirects installed.
2025-07-01 16:31:55,972 INFO    MainThread:16300 [wandb_init.py:init():1150] run started, returning control to user process
2025-07-01 16:33:41,053 INFO    MsgRouterThr:16300 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
